Age,Job,Marital Status,Education,Default,Housing Loan,Personal Loan,Contact Type,Month,Day of Week,Last Call Duration,Calls in this Campaign,Days passed after previous campaign,Calls in previous Campaign,Previous Campaign Outcome,Employment Variation Rate,Consumer Price Index,Consumer Confidence Index,Euribor 3M,Number of people employed
45,Technician,Married,Professional course,No,No,No,Cellular,Aug,Fri,17,10,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
58,Retired,Married,Basic 4y,No,Yes,No,Cellular,Aug,Fri,68,3,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
45,Technician,Married,Professional course,No,Yes,Yes,Cellular,Aug,Fri,215,3,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
41,Admin.,Married,University degree,No,Yes,No,Telephone,Aug,Fri,63,9,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
31,Technician,Single,Professional course,Unknown,Yes,Yes,Cellular,Aug,Fri,27,7,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
59,Retired,Married,Unknown,No,Yes,Yes,Cellular,Aug,Fri,117,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
51,Self-employed,Married,High school,No,Yes,No,Cellular,Aug,Fri,8,6,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
41,Admin.,Married,University degree,No,Yes,No,Cellular,Aug,Fri,6,5,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
60,Admin.,Married,University degree,No,No,No,Cellular,Aug,Fri,515,3,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
59,Retired,Married,Unknown,No,No,Yes,Cellular,Aug,Fri,88,2,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
58,Retired,Married,Basic 4y,No,Yes,Yes,Cellular,Aug,Fri,89,3,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
55,Technician,Married,Professional course,No,Yes,No,Telephone,Aug,Fri,77,7,999,0,Nonexistent,1.4,93.444,-36.1,4.963,5228.1
44,Admin.,Married,High school,No,Yes,No,Telephone,Oct,Fri,159,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.045,5195.8
42,Admin.,Married,High school,No,Yes,Yes,Telephone,Oct,Fri,103,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.045,5195.8
39,Blue-collar,Married,Basic 9y,No,No,No,Telephone,Oct,Fri,270,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.045,5195.8
56,Unknown,Married,Unknown,No,No,No,Telephone,Oct,Fri,235,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.045,5195.8
30,Entrepreneur,Married,University degree,No,No,No,Telephone,Oct,Fri,223,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.045,5195.8
43,Technician,Single,Professional course,No,No,No,Telephone,Oct,Fri,147,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.045,5195.8
27,Self-employed,Single,University degree,No,No,No,Telephone,Oct,Fri,24,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.045,5195.8
46,Admin.,Divorced,High school,No,Yes,No,Telephone,Oct,Fri,3253,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.045,5195.8
42,Self-employed,Married,Basic 4y,No,No,No,Telephone,Oct,Fri,478,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.045,5195.8
52,Technician,Married,Professional course,No,Yes,Yes,Telephone,Oct,Mon,164,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.0,5195.8
35,Management,Married,University degree,No,Yes,No,Telephone,Oct,Mon,309,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.0,5195.8
35,Entrepreneur,Married,University degree,No,Yes,Yes,Telephone,Oct,Mon,2429,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.0,5195.8
48,Admin.,Married,High school,No,No,No,Telephone,Oct,Mon,312,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.0,5195.8
41,Technician,Divorced,Professional course,No,Unknown,Unknown,Telephone,Oct,Mon,73,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.0,5195.8
30,Admin.,Single,University degree,No,Yes,Yes,Telephone,Oct,Mon,718,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.0,5195.8
39,Technician,Divorced,University degree,No,No,Yes,Telephone,Oct,Mon,2016,1,999,0,Nonexistent,-0.1,93.798,-40.4,5.0,5195.8
41,Admin.,Single,High school,No,No,No,Telephone,Oct,Tue,49,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.968,5195.8
43,Self-employed,Married,High school,No,Yes,No,Telephone,Oct,Wed,181,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.936,5195.8
48,Admin.,Married,University degree,No,No,No,Telephone,Oct,Wed,98,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.936,5195.8
37,Admin.,Single,High school,No,Yes,No,Telephone,Oct,Wed,313,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.936,5195.8
39,Blue-collar,Married,Basic 9y,No,Yes,No,Telephone,Oct,Fri,112,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.918,5195.8
26,Entrepreneur,Married,Basic 9y,No,Yes,No,Telephone,Oct,Fri,5,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.918,5195.8
46,Admin.,Divorced,University degree,No,No,No,Telephone,Oct,Mon,376,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.912,5195.8
49,Admin.,Single,University degree,No,Yes,No,Telephone,Oct,Mon,51,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.912,5195.8
27,Blue-collar,Single,Professional course,No,Yes,No,Telephone,Oct,Mon,3284,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.912,5195.8
56,Technician,Married,High school,No,No,No,Telephone,Oct,Thu,234,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.794,5195.8
34,Blue-collar,Divorced,High school,No,Yes,No,Telephone,Oct,Thu,160,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.794,5195.8
38,Entrepreneur,Married,Basic 4y,No,No,No,Telephone,Oct,Fri,227,1,999,0,Nonexistent,-0.1,93.798,-40.4,4.76,5195.8
55,Blue-collar,Married,Basic 9y,No,No,No,Cellular,Nov,Mon,1303,1,999,0,Nonexistent,-0.1,93.2,-42.0,4.191,5195.8
39,Unemployed,Married,Basic 9y,No,Yes,No,Cellular,Nov,Mon,151,1,999,0,Nonexistent,-0.1,93.2,-42.0,4.191,5195.8
58,Retired,Married,High school,No,No,No,Cellular,Nov,Mon,34,1,999,0,Nonexistent,-0.1,93.2,-42.0,4.191,5195.8
36,Technician,Married,Professional course,No,No,No,Cellular,Nov,Mon,251,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.191,5195.8
53,Technician,Married,University degree,No,Yes,No,Cellular,Nov,Mon,158,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.191,5195.8
31,Entrepreneur,Divorced,Basic 4y,No,No,No,Cellular,Nov,Tue,290,1,5,1,Success,-0.1,93.2,-42.0,4.1530000000000005,5195.8
33,Admin.,Married,High school,No,Yes,No,Cellular,Nov,Tue,273,1,999,1,Failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8
35,Admin.,Divorced,University degree,No,Yes,No,Cellular,Nov,Tue,220,1,999,1,Failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8
50,Admin.,Married,High school,No,No,No,Cellular,Nov,Tue,87,3,999,0,Nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8
34,Blue-collar,Married,Basic 9y,No,Yes,Yes,Cellular,Nov,Tue,133,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8
43,Admin.,Married,High school,No,Yes,No,Telephone,Nov,Tue,82,6,999,0,Nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8
33,Management,Married,University degree,No,Yes,Yes,Cellular,Nov,Wed,299,1,999,0,Nonexistent,-0.1,93.2,-42.0,4.12,5195.8
45,Self-employed,Married,Basic 6y,Unknown,Yes,No,Cellular,Nov,Wed,101,1,999,0,Nonexistent,-0.1,93.2,-42.0,4.12,5195.8
58,Retired,Married,Professional course,No,No,No,Cellular,Nov,Wed,189,1,999,0,Nonexistent,-0.1,93.2,-42.0,4.12,5195.8
31,Admin.,Single,High school,No,Yes,No,Cellular,Nov,Wed,66,1,999,0,Nonexistent,-0.1,93.2,-42.0,4.12,5195.8
52,Blue-collar,Married,Professional course,Unknown,Yes,No,Cellular,Nov,Wed,85,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.12,5195.8
36,Management,Married,University degree,No,Yes,No,Cellular,Nov,Wed,638,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.12,5195.8
42,Admin.,Married,University degree,No,Yes,No,Cellular,Nov,Wed,340,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.12,5195.8
39,Blue-collar,Married,Basic 6y,Unknown,No,Yes,Cellular,Nov,Wed,188,5,999,0,Nonexistent,-0.1,93.2,-42.0,4.12,5195.8
36,Blue-collar,Single,Basic 9y,No,No,Yes,Telephone,Nov,Wed,590,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.12,5195.8
36,Admin.,Single,University degree,No,No,No,Cellular,Nov,Wed,186,5,999,0,Nonexistent,-0.1,93.2,-42.0,4.12,5195.8
29,Services,Married,Basic 6y,No,No,No,Cellular,Nov,Wed,314,2,999,1,Failure,-0.1,93.2,-42.0,4.12,5195.8
39,Services,Married,Professional course,No,No,No,Cellular,Nov,Thu,161,7,999,0,Nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
30,Technician,Married,University degree,No,No,No,Cellular,Nov,Thu,85,1,999,0,Nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
55,Entrepreneur,Married,Professional course,No,Yes,No,Cellular,Nov,Thu,45,2,999,1,Failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8
32,Services,Married,Basic 9y,Unknown,Yes,No,Cellular,Nov,Thu,251,4,999,0,Nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
31,Services,Married,High school,No,No,No,Cellular,Nov,Thu,283,5,999,0,Nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
51,Self-employed,Married,University degree,Unknown,Unknown,Unknown,Cellular,Nov,Fri,31,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
31,Self-employed,Single,University degree,No,No,No,Cellular,Nov,Fri,906,1,999,1,Failure,-0.1,93.2,-42.0,4.021,5195.8
31,Technician,Married,Professional course,No,Yes,No,Cellular,Nov,Fri,95,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
37,Entrepreneur,Married,University degree,No,Yes,No,Cellular,Nov,Fri,12,5,999,1,Failure,-0.1,93.2,-42.0,4.021,5195.8
40,Services,Single,High school,Unknown,No,No,Cellular,Nov,Fri,8,3,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
58,Retired,Married,Professional course,Unknown,No,No,Cellular,Nov,Fri,158,3,999,1,Failure,-0.1,93.2,-42.0,4.021,5195.8
51,Admin.,Married,High school,No,Yes,No,Cellular,Nov,Fri,9,5,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
46,Admin.,Divorced,University degree,No,No,No,Telephone,Nov,Fri,11,7,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
43,Technician,Married,University degree,No,No,No,Cellular,Nov,Fri,24,9,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
50,Technician,Married,University degree,No,Yes,No,Cellular,Nov,Fri,175,4,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
54,Self-employed,Married,University degree,Unknown,No,No,Cellular,Nov,Fri,9,3,999,1,Failure,-0.1,93.2,-42.0,4.021,5195.8
29,Blue-collar,Single,Basic 6y,No,No,No,Telephone,Nov,Fri,69,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
44,Self-employed,Divorced,Professional course,No,No,No,Cellular,Nov,Fri,37,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
33,Admin.,Single,Professional course,No,Yes,No,Telephone,Nov,Fri,240,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
35,Blue-collar,Married,Basic 9y,No,Yes,No,Cellular,Nov,Fri,11,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
52,Services,Divorced,Basic 4y,Unknown,Yes,Yes,Cellular,Nov,Fri,23,8,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
49,Entrepreneur,Married,University degree,No,Yes,No,Cellular,Nov,Fri,13,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
58,Retired,Married,Professional course,Unknown,Yes,Yes,Cellular,Nov,Fri,22,4,999,1,Failure,-0.1,93.2,-42.0,4.021,5195.8
40,Management,Married,University degree,No,No,No,Cellular,Nov,Fri,234,5,999,1,Failure,-0.1,93.2,-42.0,4.021,5195.8
31,Technician,Single,University degree,No,Yes,Yes,Telephone,Nov,Fri,30,3,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
35,Self-employed,Married,University degree,No,No,No,Cellular,Nov,Fri,8,3,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
45,Technician,Single,University degree,No,No,No,Cellular,Nov,Fri,80,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
31,Unemployed,Single,Basic 4y,No,No,No,Cellular,Nov,Fri,12,8,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
31,Admin.,Single,University degree,No,No,No,Cellular,Nov,Fri,85,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
34,Services,Single,Basic 9y,No,Yes,No,Cellular,Nov,Fri,143,3,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
36,Self-employed,Married,Basic 9y,No,Yes,Yes,Cellular,Nov,Fri,14,7,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
44,Admin.,Married,University degree,Unknown,No,No,Cellular,Nov,Fri,48,4,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
40,Admin.,Single,University degree,No,Yes,Yes,Cellular,Nov,Fri,12,10,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
47,Technician,Married,High school,Unknown,Yes,No,Cellular,Nov,Fri,29,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
48,Blue-collar,Married,Basic 4y,Unknown,No,No,Cellular,Nov,Fri,168,3,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
50,Retired,Single,University degree,No,No,No,Cellular,Nov,Fri,51,5,999,1,Failure,-0.1,93.2,-42.0,4.021,5195.8
56,Services,Single,High school,No,Yes,Yes,Cellular,Nov,Fri,12,4,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
37,Admin.,Single,University degree,No,Yes,Yes,Cellular,Nov,Fri,33,3,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
51,Admin.,Single,University degree,Unknown,Yes,Yes,Cellular,Nov,Fri,53,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
50,Admin.,Divorced,University degree,No,Yes,No,Cellular,Nov,Fri,72,3,1,2,Success,-0.1,93.2,-42.0,4.021,5195.8
39,Admin.,Single,Unknown,No,Yes,No,Cellular,Nov,Fri,79,4,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
32,Management,Married,University degree,No,Yes,Yes,Cellular,Nov,Fri,1067,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
42,Admin.,Divorced,University degree,No,Yes,No,Cellular,Nov,Fri,10,3,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
48,Admin.,Married,University degree,Unknown,No,No,Cellular,Nov,Fri,71,9,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
49,Blue-collar,Married,Basic 9y,No,No,No,Cellular,Nov,Fri,273,5,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
51,Blue-collar,Married,High school,No,No,No,Cellular,Nov,Fri,11,4,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
55,Management,Married,Basic 9y,No,No,No,Cellular,Nov,Fri,189,2,999,1,Failure,-0.1,93.2,-42.0,4.021,5195.8
48,Admin.,Married,University degree,No,No,No,Cellular,Nov,Fri,61,7,999,1,Failure,-0.1,93.2,-42.0,4.021,5195.8
39,Management,Married,University degree,No,Yes,No,Telephone,Nov,Fri,10,7,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
40,Technician,Married,University degree,No,Yes,No,Telephone,Nov,Fri,10,3,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
55,Management,Married,University degree,Unknown,Yes,No,Cellular,Nov,Fri,280,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
39,Self-employed,Married,Professional course,No,No,No,Telephone,Nov,Fri,47,4,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
37,Admin.,Married,Unknown,No,No,No,Cellular,Nov,Fri,34,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
41,Technician,Married,University degree,No,Yes,Yes,Cellular,Nov,Fri,38,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
32,Admin.,Married,High school,No,No,No,Cellular,Nov,Fri,219,2,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
34,Admin.,Married,University degree,No,No,No,Telephone,Nov,Fri,205,3,999,1,Failure,-0.1,93.2,-42.0,4.021,5195.8
41,Blue-collar,Single,Basic 9y,Unknown,No,No,Cellular,Nov,Fri,643,3,999,0,Nonexistent,-0.1,93.2,-42.0,4.021,5195.8
38,Technician,Married,Professional course,No,Yes,Yes,Telephone,Nov,Wed,49,1,999,0,Nonexistent,-0.1,93.2,-42.0,3.901,5195.8
32,Unemployed,Single,High school,No,No,Yes,Telephone,Nov,Thu,114,1,999,0,Nonexistent,-0.1,93.2,-42.0,3.879,5195.8
46,Entrepreneur,Single,Professional course,No,Yes,No,Telephone,Nov,Thu,8,1,999,0,Nonexistent,-0.1,93.2,-42.0,3.879,5195.8
27,Admin.,Single,High school,No,Yes,No,Telephone,Nov,Fri,24,1,999,0,Nonexistent,-0.1,93.2,-42.0,3.853,5195.8
31,Admin.,Single,High school,No,Yes,No,Telephone,Dec,Mon,36,1,999,0,Nonexistent,-0.2,92.756,-45.9,3.816,5176.3
39,Housemaid,Married,Basic 4y,No,Yes,No,Telephone,Dec,Wed,11,1,999,1,Failure,-0.2,92.756,-45.9,3.743,5176.3
41,Technician,Divorced,Professional course,No,No,Yes,Cellular,Dec,Thu,18,1,999,0,Nonexistent,-0.2,92.756,-45.9,3.669,5176.3
37,Admin.,Married,High school,No,Yes,No,Telephone,Dec,Fri,12,1,999,0,Nonexistent,-0.2,92.756,-45.9,3.563,5176.3
48,Admin.,Married,High school,No,Yes,Yes,Telephone,Dec,Fri,291,1,999,0,Nonexistent,-0.2,92.756,-45.9,3.563,5176.3
51,Blue-collar,Married,Basic 4y,No,Yes,Yes,Telephone,Dec,Mon,170,1,999,0,Nonexistent,-0.2,92.756,-45.9,3.488,5176.3
39,Technician,Married,Professional course,No,Yes,No,Telephone,Dec,Tue,183,1,999,0,Nonexistent,-0.2,92.756,-45.9,3.428,5176.3
36,Blue-collar,Married,High school,No,Yes,No,Cellular,Dec,Thu,234,1,999,0,Nonexistent,-0.2,92.756,-45.9,3.329,5176.3
55,Unemployed,Divorced,Professional course,No,No,No,Telephone,Dec,Fri,136,1,999,0,Nonexistent,-0.2,92.756,-45.9,3.282,5176.3
44,Blue-collar,Married,Basic 4y,No,Yes,Yes,Telephone,Dec,Mon,119,1,999,0,Nonexistent,-0.2,92.756,-45.9,3.053,5176.3
26,Student,Single,Basic 9y,No,Yes,No,Cellular,Mar,Mon,712,4,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
38,Admin.,Single,University degree,No,Yes,No,Cellular,Mar,Mon,111,2,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
26,Student,Single,Basic 9y,No,No,No,Cellular,Mar,Mon,42,4,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
26,Student,Single,Basic 9y,No,Yes,No,Telephone,Mar,Mon,169,4,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
30,Management,Married,University degree,No,Yes,No,Telephone,Mar,Mon,213,7,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
26,Student,Single,Basic 9y,No,Yes,Yes,Cellular,Mar,Mon,78,4,999,1,Failure,-1.8,92.843,-50.0,1.811,5099.1
28,Technician,Single,University degree,No,Yes,No,Cellular,Mar,Mon,76,2,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
35,Admin.,Married,University degree,No,Yes,No,Cellular,Mar,Mon,378,4,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
30,Management,Married,University degree,No,No,No,Cellular,Mar,Mon,116,1,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
48,Admin.,Married,Basic 6y,No,No,No,Telephone,Mar,Mon,139,5,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
26,Admin.,Married,University degree,No,Yes,No,Cellular,Mar,Mon,154,1,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
28,Technician,Single,University degree,No,No,No,Cellular,Mar,Mon,142,2,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
31,Admin.,Single,University degree,No,Yes,No,Cellular,Mar,Mon,145,1,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
38,Admin.,Single,University degree,No,Yes,No,Cellular,Mar,Mon,69,1,999,0,Nonexistent,-1.8,92.843,-50.0,1.811,5099.1
